2.341,2.47,1.239,0.692,0.511,0.319,0.219,0.155,0.112,0.081,0.07,0.067
2.308,2.243,0.058,0.057,0.054,0.062,0.054,0.057,0.058,0.054,0.057,0.058
1.95,1.955,1.25,0.764,0.63,0.375,0.219,0.171,0.104,0.09,0.07,0.067
0.975,0.961,0.058,0.061,0.055,0.063,0.054,0.057,0.056,0.053,0.056,0.059
0.302,0.307,1.984,2.077,1.953,1.782,1.485,1.143,0.704,0.397,0.232,0.152
0.111,0.112,0.123,0.092,0.075,0.064,0.061,0.061,0.057,0.06,0.059,0.063
0.068,0.07,2.007,1.947,2.003,1.849,1.573,1.245,0.8,0.425,0.284,0.156
0.058,0.062,0.12,0.086,0.073,0.065,0.062,0.058,0.059,0.057,0.057,0.057
2.23,2.437,2.048,2.091,2.099,1.991,1.676,0.206,0.89,0.621,0.358,0.074
2.208,2.178,0.148,0.1,0.081,0.072,0.063,0.065,0.062,0.06,0.061,0.062
1.728,1.78,1.964,2.03,1.927,1.96,1.632,1.409,0.896,0.551,0.346,0.202
0.897,0.916,0.152,0.109,0.089,0.075,0.064,0.062,0.06,0.061,0.059,0.059
0.241,0.264,2.285,2.216,2.179,2.169,2.115,1.93,1.672,1.258,0.822,0.524
0.093,0.101,0.352,0.211,0.142,0.115,0.086,0.073,0.067,0.063,0.061,0.061
0.065,0.068,2.128,2.159,2.198,2.202,2.178,1.973,1.692,1.25,0.884,0.571
0.056,0.058,0.391,0.242,0.161,0.11,0.086,0.072,0.063,0.063,0.061,0.06
2.272,2.31,2.252,2.38,2.358,2.405,2.318,1.557,1.835,1.49,0.624,0.386
2.269,2.15,0.455,0.277,0.15,0.133,0.095,0.08,0.071,0.065,0.062,0.064
1.967,1.899,2.22,2.201,2.224,2.18,2.125,2.044,1.882,1.526,1.011,0.68
0.884,0.95,0.471,0.29,0.191,0.13,0.099,0.082,0.073,0.068,0.062,0.061
0.248,0.279,2.329,2.17,2.187,2.205,2.153,2.109,1.862,1.488,1.039,0.622
0.095,0.102,0.463,0.285,0.184,0.134,0.101,0.08,0.071,0.065,0.062,0.06
0.065,0.068,2.198,2.197,2.157,2.183,2.167,2.071,1.882,1.463,1.014,0.71
0.055,0.056,0.523,0.308,0.195,0.129,0.101,0.082,0.07,0.066,0.061,0.061
1.932,1.945,2.007,2.083,2.033,2.043,1.751,1.114,1.314,1.035,0.504,0.255
1.863,1.879,0.349,0.195,0.145,0.097,0.085,0.078,0.067,0.059,0.058,0.057
1.64,1.607,1.932,1.982,1.967,1.725,1.709,1.676,1.554,0.896,0.731,0.455
0.811,0.787,0.314,0.237,0.155,0.11,0.081,0.074,0.065,0.063,0.058,0.057
0.249,0.247,1.92,1.95,1.958,1.838,1.89,1.752,1.583,1.283,0.817,0.457
0.093,0.095,0.395,0.24,0.154,0.114,0.078,0.073,0.064,0.059,0.058,0.055
0.063,0.063,1.943,1.96,2.05,1.982,2.004,1.844,1.627,1.265,0.393,0.54
0.053,0.053,0.42,0.174,0.18,0.09,0.088,0.076,0.063,0.062,0.06,0.057
